trace,trace_type,eviction,prefetcher,cache_size,interaction_window,miss_ratio,byte_miss_ratio,n_req,n_prefetch,n_prefetch_then_evict,n_prefetch_then_evict_then_miss,n_prefetch_then_evict_no_demand,n_prefetch_then_evict_then_hit,n_evict,n_evict_then_prefetch,n_evict_then_useful_prefetch,n_evict_then_useless_prefetch,log_path,status
w01.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,16mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__sieve__Mithril__16mb__w1000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,16mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__sieve__Mithril__16mb__w100.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,16mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__sieve__Mithril__16mb__w10000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,16mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__fifo__Mithril__16mb__w100.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,16mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__fifo__Mithril__16mb__w1000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,16mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__fifo__Mithril__16mb__w10000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,64mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__sieve__Mithril__64mb__w100.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,64mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__sieve__Mithril__64mb__w1000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,64mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__sieve__Mithril__64mb__w10000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,64mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__lru__Mithril__64mb__w1000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,64mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__lru__Mithril__64mb__w100.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,64mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__lru__Mithril__64mb__w10000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,64mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__fifo__Mithril__64mb__w100.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,64mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__fifo__Mithril__64mb__w1000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,16mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__lru__Mithril__16mb__w100.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,64mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__fifo__Mithril__64mb__w10000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,16mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__lru__Mithril__16mb__w10000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,16mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__lru__Mithril__16mb__w1000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,256mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__fifo__Mithril__256mb__w1000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,256mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__fifo__Mithril__256mb__w10000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,256mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__fifo__Mithril__256mb__w100.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,256mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__lru__Mithril__256mb__w100.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,256mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__lru__Mithril__256mb__w1000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,256mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__lru__Mithril__256mb__w10000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,256mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__sieve__Mithril__256mb__w100.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,256mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__sieve__Mithril__256mb__w1000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,256mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__sieve__Mithril__256mb__w10000.log,fail:134
