trace,n_req,n_req_byte,wss_obj,wss_byte,mean_obj_size_req,mean_obj_size_obj,cold_miss_ratio,byte_cold_miss_ratio,start_clock,end_clock,elapsed_sec
w01.oracleGeneral.bin.zst,215796257,1140647032320,122804013,685952515584,5285.759114533668,5585.749999749601,0.569073878792995,0.6013714112671809,2873759,3417280,233.25599735198193
w02.oracleGeneral.bin.zst,122181000,6022953559040,495582,20984298496,49295.336910321574,42342.737419841724,0.004056129840155179,0.0034840545075271495,50134223,50741478,129.98657045897562
w03.oracleGeneral.bin.zst,84712978,7648392919552,27852385,1919037793280,90285.96444280355,68900.30398761183,0.32878533676386634,0.25090732307623215,2938959,3548686,120.6019425150007
w04.oracleGeneral.bin.zst,77764582,7481437881856,18753381,1785141273088,96206.23797419756,95190.36983720429,0.24115581306667347,0.23860938248479327,2951505,3561252,113.00081318299635
w05.oracleGeneral.bin.zst,73034546,4641865226752,41379800,1542905902080,63557.117569430775,37286.45141059164,0.5665784517918411,0.33238920707734554,25936708,26465693,112.5400341200002
w06.oracleGeneral.bin.zst,69392150,991743624704,1699448,23468258304,14291.87054593351,13809.341800396363,0.024490493521241236,0.023663634148396402,4369696,4954157,97.32587591797346
w07.oracleGeneral.bin.zst,67427405,582332017664,9502621,146730342912,8636.429322231814,15441.0391524612,0.14093113920074485,0.2519702480049139,27145253,27719092,103.56393399598892
w08.oracleGeneral.bin.zst,44464937,4556991451968,9040043,1088232028864,102485.05360455137,120379.07661102939,0.20330722609592364,0.2388049309142399,2871962,3464591,75.76198996399762
w09.oracleGeneral.bin.zst,49622929,4803731656192,14867471,1133869971456,96804.67785752832,76265.15440696,0.29960889652442724,0.23603940698778292,2939349,3549107,82.71273847098928
w10.oracleGeneral.bin.zst,48342350,4698372361728,12529804,1567400145920,97189.57315331175,125093.74814801573,0.2591889719883291,0.3336049221402134,25936273,26466442,87.47189427298144
w100.oracleGeneral.bin.zst,3645877,81713053696,1771418,53935427584,22412.45486230062,30447.600500841698,0.48586883210815945,0.6600588907698628,19935885,20505126,6.493767506995937
w101.oracleGeneral.bin.zst,3587707,80065773568,1754573,53863006208,22316.697982304577,30698.640756468954,0.48905136344746103,0.672734475765154,19936134,20499505,5.915741110016825
w102.oracleGeneral.bin.zst,3558215,53061224960,325151,8220999168,14912.315573960539,25283.63488963589,0.09138036908955754,0.15493421371627528,867181,1448769,5.323689638986252
w103.oracleGeneral.bin.zst,3442094,52139017216,430377,8195700224,15147.470468848323,19043.07206007756,0.1250334825254627,0.15718938832404708,2578852,3183158,4.8943175860040355
