trace,trace_type,eviction,prefetcher,cache_size,wss_byte,wss_frac,miss_ratio,byte_miss_ratio,n_req,log_path,status
w04.oracleGeneral.bin.zst,oracleGeneral,sieve,none,17851412730,1785141273088,0.01,0.4653,0.6928,77764582,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w04.oracleGeneral.bin.zst__sieve__noprefetch__17851412730.log,ok
w04.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,17851412730,1785141273088,0.01,0.4653,0.6928,77764582,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w04.oracleGeneral.bin.zst__sieve__OBL__17851412730.log,ok
w04.oracleGeneral.bin.zst,oracleGeneral,lru,none,17851412730,1785141273088,0.01,0.4813,0.6998,77764582,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w04.oracleGeneral.bin.zst__lru__noprefetch__17851412730.log,ok
w04.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,17851412730,1785141273088,0.01,0.4813,0.6998,77764582,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w04.oracleGeneral.bin.zst__lru__OBL__17851412730.log,ok
w03.oracleGeneral.bin.zst,oracleGeneral,sieve,none,19190377932,1919037793280,0.01,0.6156,0.8314,84712978,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w03.oracleGeneral.bin.zst__sieve__noprefetch__19190377932.log,ok
w03.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,19190377932,1919037793280,0.01,0.6325,0.8372,84712978,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w03.oracleGeneral.bin.zst__lru__OBL__19190377932.log,ok
w03.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,19190377932,1919037793280,0.01,0.6156,0.8314,84712978,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w03.oracleGeneral.bin.zst__sieve__OBL__19190377932.log,ok
w03.oracleGeneral.bin.zst,oracleGeneral,lru,none,19190377932,1919037793280,0.01,0.6325,0.8372,84712978,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w03.oracleGeneral.bin.zst__lru__noprefetch__19190377932.log,ok
w02.oracleGeneral.bin.zst,oracleGeneral,sieve,none,209842984,20984298496,0.01,0.9391,0.9872,122181000,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w02.oracleGeneral.bin.zst__sieve__noprefetch__209842984.log,ok
w02.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,209842984,20984298496,0.01,0.9391,0.9872,122181000,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w02.oracleGeneral.bin.zst__sieve__OBL__209842984.log,ok
w02.oracleGeneral.bin.zst,oracleGeneral,lru,none,209842984,20984298496,0.01,0.9892,0.9979,122181000,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w02.oracleGeneral.bin.zst__lru__noprefetch__209842984.log,ok
w02.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,209842984,20984298496,0.01,0.9892,0.9979,122181000,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w02.oracleGeneral.bin.zst__lru__OBL__209842984.log,ok
w01.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,6859525155,685952515584,0.01,,,,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w01.oracleGeneral.bin.zst__lru__Mithril__6859525155.log,fail:134
w05.oracleGeneral.bin.zst,oracleGeneral,sieve,none,15429059020,1542905902080,0.01,0.8384,0.9632,73034546,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w05.oracleGeneral.bin.zst__sieve__noprefetch__15429059020.log,ok
w05.oracleGeneral.bin.zst,oracleGeneral,lru,none,15429059020,1542905902080,0.01,0.8222,0.9578,73034546,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w05.oracleGeneral.bin.zst__lru__noprefetch__15429059020.log,ok
